churn_status,session_length_seconds,session_count,event_count,closed_session_event_count,open_session_event_count,quest_completed_event_count,store_purchase_event_count,active_days
Churned,1650,3,37,8,8,2,0,3
Churned,94181,82,1274,274,275,39,5,12
Stayed,187066,176,4592,353,354,2789,52,44
Stayed,25351,56,492,98,98,54,5,18
Stayed,378,1,8,2,2,0,0,1
Stayed,4855,10,127,18,18,10,0,2
Stayed,9934,21,287,27,25,86,0,7
Churned,162,4,19,5,5,1,0,3
Stayed,162517,305,3275,498,494,1204,7,54
Stayed,55305,218,1219,267,266,112,16,49
Stayed,3135,3,48,4,4,5,0,1
Stayed,29127,52,579,75,76,108,1,23
Stayed,16411,55,455,63,65,98,2,12
Stayed,94096,94,2359,483,483,623,1,27
Churned,22199,65,552,95,96,170,0,29
Churned,3522,7,123,11,11,15,0,4
Stayed,2542,9,86,17,16,10,0,7
Stayed,27211,19,584,53,54,186,1,3
Stayed,49791,92,1123,195,194,123,1,37
Churned,763,3,31,8,7,5,0,1
Stayed,20607,30,521,42,42,59,2,14
Churned,29260,95,811,144,144,32,2,17
Churned,2285,2,68,5,5,12,0,2
Stayed,16370,16,206,29,28,40,0,6
Churned,145,1,7,2,2,0,0,1
Stayed,587,4,39,6,6,1,0,2
Stayed,14211,39,336,60,58,39,2,30
Stayed,57490,83,967,187,187,104,1,18
Stayed,1208,8,38,7,8,0,0,8
Stayed,171608,279,3032,478,475,1200,6,54
Churned,53774,196,1069,286,286,65,8,34
Stayed,3347,6,61,17,15,0,0,4
Churned,785,2,13,4,4,0,0,2
Churned,10,1,6,2,2,0,0,1
Churned,11422,12,213,22,20,19,1,5
Churned,7723,43,282,59,60,19,0,26
Churned,5733,7,262,18,17,16,0,3
Churned,599,2,24,3,3,3,0,1
Stayed,233253,383,5394,1730,1720,291,2,55
Churned,232,2,19,5,5,1,0,2
Churned,34371,32,839,64,63,360,3,7
Stayed,35082,127,746,168,166,59,22,46
Churned,30,1,4,1,1,0,0,1
Stayed,2762,11,57,12,11,2,0,11
Churned,1565,2,39,4,4,2,0,2
Churned,3231,11,81,14,14,4,0,7
Stayed,4417,6,89,9,9,25,0,6
Churned,135,2,12,3,3,0,0,2
Stayed,13573,11,203,34,35,13,0,4
Stayed,6985,15,104,18,18,17,0,11
Stayed,13459,11,223,32,31,28,0,5
Churned,286,2,12,3,3,0,0,2
Stayed,849,2,28,6,6,8,0,2
Stayed,2689,3,56,4,4,6,0,3
Churned,3,1,4,1,1,0,0,1
Stayed,2289,2,79,1,2,15,0,1
Stayed,16566,18,319,37,35,153,2,12
Stayed,65568,123,1387,250,247,363,7,40
Churned,930,2,29,3,3,5,0,2
Churned,4237,11,70,19,19,0,1,8
Churned,966,1,24,3,3,1,0,1
Stayed,3076,4,55,8,8,11,0,2
Stayed,79323,320,2377,369,366,889,4,55
Stayed,9237,26,186,29,29,40,0,20
Stayed,17872,95,469,107,106,18,6,38
Stayed,8374,25,152,38,34,20,0,5
Churned,1541,3,64,8,7,5,0,3
Stayed,80594,393,2094,489,484,179,4,55
Stayed,9140,37,268,67,67,18,2,22
Churned,1697,5,41,8,8,9,1,3
Churned,511,5,22,5,5,0,0,5
Churned,10673,28,241,39,38,16,1,16
Churned,2095,5,111,10,10,14,0,4
Churned,955,1,19,3,3,0,0,1
Stayed,19002,41,420,73,71,52,0,15
Churned,442,1,8,2,2,0,0,1
Stayed,62376,196,1436,220,218,318,0,27
Churned,3904,2,57,4,4,5,0,2
Stayed,42172,114,1263,131,132,220,9,34
Churned,275,1,5,1,1,0,0,1
Stayed,256515,242,4320,289,281,2224,30,49
Stayed,113477,94,1541,166,167,504,2,13
Churned,3442,6,130,11,11,14,0,3
Stayed,1893,2,22,4,5,4,0,2
Churned,1110,3,39,4,4,11,0,3
Stayed,2796,3,71,5,5,12,1,1
Churned,7299,38,233,46,43,34,0,19
Stayed,108798,177,1244,293,296,136,10,20
Churned,2738,5,63,7,7,4,0,3
Stayed,25103,33,495,72,69,146,0,21
Churned,545,5,21,5,5,0,0,5
Churned,2435,1,42,5,5,7,0,1
Stayed,117834,140,2317,338,336,817,4,28
Churned,4424,5,131,10,9,15,0,5
Churned,18814,101,640,109,109,172,0,36
Churned,3424,14,77,22,21,1,0,8
Churned,3064,5,85,8,8,10,0,3
Churned,9,1,6,2,2,0,0,1
Churned,598,3,21,5,5,0,0,1
Stayed,51607,119,1085,196,194,41,7,20
Stayed,118210,226,1539,344,341,116,5,40
Stayed,7364,18,91,20,19,0,0,13
Stayed,23861,50,472,84,88,26,1,9
Stayed,668,1,18,2,1,1,0,1
Churned,18509,60,473,83,82,106,0,26
Stayed,29633,100,705,120,120,80,10,28
Stayed,3723,14,341,16,14,32,0,12
Stayed,32732,68,789,204,204,48,1,16
Churned,54678,60,858,108,107,237,0,10
Stayed,90469,188,1964,305,305,622,20,27
Churned,8,1,3,1,1,0,0,1
Churned,10,2,9,2,2,0,0,2
Stayed,18357,16,603,38,37,69,3,8
Stayed,69071,208,1401,307,302,213,21,36
Stayed,13378,9,179,30,30,19,0,3
Stayed,112000,296,2607,448,444,224,74,55
Stayed,31563,35,754,91,90,227,7,13
Stayed,26557,62,608,81,79,202,0,32
Stayed,1337,5,68,6,6,8,0,4
Churned,98,1,4,1,1,0,0,1
Stayed,347668,156,4723,1064,1066,612,12,14
Stayed,2935,6,98,15,15,9,0,4
Churned,137,1,6,2,2,0,0,1
Stayed,886,1,29,2,2,6,0,1
Churned,9350,21,128,31,31,6,0,19
Stayed,11644,31,234,56,56,4,0,16
Churned,6422,7,89,16,16,8,1,1
Stayed,280472,210,9995,374,372,7768,25,55
Stayed,23433,58,447,94,95,74,5,25
Churned,663,1,20,2,2,3,0,1
Stayed,58056,161,1487,214,211,214,20,28
Churned,5126,10,108,20,20,8,0,5
Churned,1177,4,45,7,7,3,0,3
Churned,535,1,23,4,4,1,0,1
Churned,4,2,10,2,2,0,0,2
Churned,562,4,24,5,5,1,0,2
Stayed,457,3,23,4,3,2,0,3
Stayed,10035,14,214,30,30,23,3,7
Stayed,45945,152,1360,215,215,448,7,48
Stayed,63846,201,2200,673,522,17,18,53
Stayed,85666,115,1670,318,319,96,5,30
Churned,580,3,22,8,8,0,0,1
Stayed,29837,9,892,56,56,345,11,2
Churned,435498,426,10118,568,566,5833,8,47
Stayed,263646,346,3084,837,837,241,8,52
Stayed,140318,444,2742,721,720,202,27,55
Churned,106729,87,1708,228,226,499,3,28
Churned,9761,15,278,21,21,39,0,10
Churned,7222,11,164,20,18,23,1,8
Stayed,6264,6,83,17,17,4,0,6
Stayed,25256,180,1185,225,228,165,24,52
Churned,257,1,13,2,2,0,0,1
Stayed,9100,26,286,38,37,36,3,6
Stayed,14507,96,492,112,111,34,4,50
Stayed,18178,92,417,112,111,12,3,43
Churned,10324,19,228,36,35,22,0,10
Stayed,31,8,34,8,8,0,0,8
Stayed,1030,6,53,7,7,3,0,5
Stayed,304080,210,6702,507,505,4144,60,52
Churned,8747,58,283,63,63,50,2,17
Churned,801,1,31,3,3,8,0,1
Churned,3,1,4,1,1,0,0,1
Stayed,24190,57,478,90,90,44,2,19
Stayed,64226,186,1751,266,265,587,1,50
Churned,2990,5,93,7,7,15,0,4
Stayed,5235,7,121,13,9,26,0,3
Churned,533,3,15,4,4,0,0,2
Stayed,18528,56,490,64,64,40,7,15
Churned,7269,8,164,12,11,20,0,4
Churned,1335,3,68,4,4,7,0,3
Stayed,25448,176,779,202,202,23,0,48
Churned,3636,6,105,13,14,17,0,4
Stayed,31042,64,872,116,116,118,1,10
Stayed,19973,26,723,55,53,32,1,7
Churned,5454,14,174,21,21,18,0,8
Stayed,18107,50,478,70,69,34,5,28
Churned,578,2,24,3,3,2,0,2
Stayed,75970,170,1276,257,254,107,13,42
Churned,6849,12,178,21,21,25,0,11
Churned,65,1,4,1,1,0,0,1
Stayed,26597,99,1004,155,154,81,6,35
Stayed,38909,125,1063,176,179,43,11,33
Stayed,179257,289,2880,409,408,832,5,33
Churned,821,1,19,2,2,1,0,1
Stayed,167,2,26,8,8,0,0,2
Churned,180,1,3,1,0,0,0,1
Stayed,85544,239,2034,391,389,222,3,54
Churned,159,2,9,2,2,0,0,2
Churned,4685,11,80,14,14,12,1,10
Stayed,12331,28,305,38,38,29,1,10
Stayed,150876,92,3001,220,222,1354,7,25
Stayed,22508,81,642,124,125,76,31,20
Churned,29,1,5,1,1,0,0,1
Churned,676,1,31,3,3,6,0,1
Churned,103,1,5,1,1,0,0,1
Stayed,44079,19,879,21,20,326,0,11
Churned,126335,197,1627,280,275,140,15,39
Stayed,12078,23,220,33,31,84,0,19
Stayed,666,5,25,7,7,3,0,4
Churned,713,5,25,7,7,0,0,3
Stayed,54563,137,792,175,173,60,6,48
Stayed,18847,7,358,8,7,206,2,5
Stayed,1711,2,35,3,2,1,0,2
Stayed,7209,5,251,44,44,20,0,1
Stayed,22060,70,534,94,89,31,0,31
Churned,72,1,4,1,1,0,0,1
Stayed,90736,234,1868,298,298,518,11,55
Churned,209,1,5,1,1,0,0,1
Churned,247,1,10,3,3,0,0,1
Churned,5629,8,78,14,14,9,2,5
Stayed,22909,80,750,89,91,84,1,17
Stayed,4321,19,168,24,24,16,0,12
Stayed,213908,418,3167,645,637,741,11,55
Stayed,43619,51,579,88,80,60,0,17
Churned,441,1,18,2,2,1,0,1
Stayed,1704,1,27,4,4,1,0,1
Churned,19348,135,616,153,153,0,4,32
Churned,3133,1,99,4,4,12,0,1
Stayed,1241,1,12,3,1,0,0,1
Churned,40292,58,750,102,97,130,1,23
Churned,388,1,15,2,1,1,0,1
Churned,157,1,13,5,5,0,0,1
Stayed,18153,37,449,64,64,172,2,19
Stayed,86089,263,1770,316,318,84,15,54
Stayed,201490,251,3169,397,390,1058,6,43
Churned,112,1,6,2,2,0,0,1
Stayed,14119,29,433,54,54,36,0,15
Churned,1131,2,21,7,7,0,0,2
Churned,1225,7,40,12,12,0,0,3
Churned,29888,23,529,46,45,51,1,4
Churned,624,1,28,2,2,6,0,1
Churned,3,1,4,1,1,0,0,1
Churned,663,1,11,3,3,0,0,1
Churned,2255,6,71,10,10,7,0,3
Stayed,3,1,4,1,1,0,0,1
Churned,558,1,26,2,2,2,0,1
Churned,133,2,8,2,2,0,0,2
Stayed,5709,23,188,38,38,14,0,10
Stayed,79847,57,1378,150,151,557,1,13
Churned,1754,1,14,3,3,0,0,1
Stayed,205431,601,5157,757,757,2150,18,55
Stayed,154822,245,3156,418,415,1198,16,35
Stayed,3323,14,74,15,15,1,0,11
Churned,2115,1,71,2,2,10,1,1
Churned,33394,43,456,75,70,34,0,15
Churned,193,3,14,3,3,0,0,3
Churned,2304,1,85,5,5,7,0,1
Stayed,118870,409,2076,544,541,71,35,55
Stayed,4741,10,108,16,16,11,2,3
Churned,490,1,21,4,4,1,0,1
Stayed,123179,214,2718,306,307,1224,18,29
Churned,12401,2,322,27,26,140,0,1
Churned,24824,50,798,67,64,67,5,25
Churned,754,3,18,4,3,1,0,2
Churned,4111,6,95,9,9,9,0,3
Stayed,8988,20,262,36,36,24,2,12
Churned,9196,25,177,41,41,24,0,13
Stayed,34338,73,665,112,113,125,1,12
Churned,14169,22,312,47,47,24,0,7
Stayed,10182,24,321,34,33,49,0,13
Churned,9376,37,290,50,50,30,0,9
Stayed,130035,103,4216,200,195,2653,4,42
Stayed,419265,476,5202,1258,1245,668,84,55
Churned,8773,13,150,19,18,25,1,6
Stayed,39044,165,1996,203,202,307,7,52
Churned,52840,60,871,139,138,238,2,9
Stayed,7124,9,287,20,19,30,0,2
Churned,838,1,25,5,5,3,0,1
Churned,347,1,16,3,3,0,0,1
Stayed,12747,95,456,102,102,15,3,45
Churned,7019,5,127,8,8,19,0,5
Stayed,6859,5,145,17,17,15,0,3
Churned,1169,2,34,11,11,0,0,1
Stayed,83006,187,1939,328,341,330,4,30
Churned,427,4,20,5,5,0,0,3
Stayed,32429,64,680,92,91,147,11,31
Churned,3051,3,86,4,3,11,1,3
Stayed,1550,3,23,3,3,5,0,2
Stayed,185093,262,2893,824,826,161,1,40
Churned,612,2,11,3,2,0,0,2
Churned,4653,3,83,5,5,19,0,3
Churned,5946,13,165,21,20,14,0,5
Stayed,90695,189,1622,364,364,69,8,36
Churned,254,1,7,2,2,0,0,1
Stayed,344604,385,4863,620,618,1634,21,39
Stayed,2032,3,61,3,3,8,0,2
Churned,7920,23,245,29,29,39,0,5
Stayed,45209,93,1039,144,145,77,3,18
Churned,2203,9,53,12,10,0,0,8
Churned,23437,28,419,62,62,36,3,13
Churned,10253,18,157,23,21,49,1,11
Stayed,16915,33,247,60,57,8,1,17
Churned,7507,3,138,12,12,12,0,1
Stayed,193809,212,4866,559,557,1890,5,30
Churned,16894,34,384,53,53,22,3,9
Churned,2281,3,68,5,5,9,0,1
Stayed,38306,168,938,214,213,66,2,25
Churned,7026,18,170,31,31,9,1,10
Stayed,100096,144,2203,354,353,283,9,20
Stayed,53356,104,1282,160,157,209,25,13
Churned,9443,24,334,31,31,96,0,14
Stayed,2142,2,37,3,3,6,0,1
Churned,7554,11,194,24,24,25,0,4
Stayed,22096,34,375,89,89,63,1,4
Stayed,14184,42,355,49,49,61,4,20
Stayed,9211,26,245,29,28,29,1,11
Stayed,93305,269,2827,322,322,786,5,40
Stayed,69578,105,1291,156,146,571,10,41
Stayed,2487,6,75,17,17,13,0,5
Churned,1,1,4,1,1,0,0,1
Churned,295,1,5,2,1,0,0,1
Stayed,33673,187,942,221,221,142,5,38
Churned,2691,11,94,19,19,10,0,6
Churned,14,2,6,1,1,0,0,2
Stayed,52199,116,1033,174,173,191,5,41
Stayed,40115,80,1450,98,96,245,0,30
Stayed,5203,4,124,20,20,23,0,4
Churned,1947,7,86,9,9,8,0,6
Stayed,5033,15,118,29,29,6,0,7
Churned,6203,7,227,9,9,26,0,3
Stayed,59480,140,993,209,208,42,11,25
Stayed,287610,622,4216,921,911,540,12,55
Churned,1126,4,42,9,9,3,0,2
Churned,939,2,36,5,5,6,0,2
Churned,37749,69,692,155,154,78,12,27
Churned,2885,3,23,5,5,2,0,3
Churned,4946,15,84,20,20,1,1,11
Churned,7122,11,184,22,22,17,2,5
Churned,2617,3,41,5,5,5,0,2
Churned,6994,12,164,21,21,15,1,5
Churned,134800,228,4220,632,632,1707,19,29
Stayed,124564,111,2349,273,270,1308,1,27
Stayed,1140,5,63,8,8,9,0,4
Stayed,10952,25,268,41,42,25,2,13
Churned,1083,2,18,4,4,0,3,1
Churned,13,1,7,2,2,0,0,1
Stayed,11820,4,126,9,6,20,0,4
Stayed,41019,114,1267,245,244,74,13,38
Churned,110109,108,3006,214,211,1703,2,20
Stayed,16079,54,339,79,76,11,5,28
Stayed,16670,62,344,74,74,24,0,23
Stayed,152952,211,4076,610,589,1106,57,40
Stayed,3,1,4,1,1,0,0,1
Stayed,652,1,20,3,3,2,0,1
Churned,603,2,23,4,4,1,0,1
Churned,7582,14,152,19,19,14,0,5
Churned,1,1,4,1,1,0,0,1
Stayed,20547,38,458,49,46,102,29,20
Churned,2307,10,43,12,12,0,0,8
Stayed,5,1,5,1,1,0,0,1
Churned,807,3,70,6,6,1,0,3
Churned,372,3,23,4,4,1,0,1
Stayed,22513,89,661,138,138,25,126,36
Stayed,14268,62,335,83,84,30,0,12
Churned,4016,13,148,17,17,19,0,4
Churned,7312,61,276,71,70,5,4,26
Churned,1322,3,41,4,4,6,0,1
Churned,2918,8,59,9,9,12,0,4
Churned,40924,77,840,230,230,51,2,17
Stayed,16147,29,427,53,54,35,0,19
Churned,530,1,24,3,3,3,0,1
Stayed,3233,2,70,7,7,6,0,1
Stayed,56171,66,979,149,148,45,6,14
Stayed,131620,556,3823,844,840,479,2,55
Stayed,30751,88,583,131,129,73,4,36
Churned,4813,11,149,13,12,16,0,7
Stayed,14727,21,548,43,42,26,2,9
Churned,243779,503,3220,958,958,241,0,40
Stayed,415060,446,6060,855,854,1972,32,41
Churned,1747,5,27,7,7,0,0,5
Stayed,87342,122,1011,186,186,73,1,20
Churned,2077,3,39,3,3,15,0,3
Stayed,16495,70,387,96,94,21,4,27
Stayed,11205,63,362,66,66,34,6,40
Stayed,443,2,22,3,3,2,0,2
Churned,1931,7,56,8,8,14,0,7
Stayed,102106,126,1496,347,346,102,2,23
Stayed,32271,32,460,85,90,72,2,10
Stayed,85,1,6,2,2,0,0,1
Churned,2000,3,96,4,4,14,0,3
Stayed,26600,93,723,117,115,215,1,15
Churned,7275,10,91,19,19,8,0,5
Stayed,27722,14,782,31,28,174,0,6
Stayed,214005,336,3813,572,569,1061,32,42
Churned,10225,19,282,28,28,53,0,7
Churned,15682,34,315,69,67,34,0,19
Churned,970,1,26,3,3,4,0,1
Churned,7905,10,243,26,25,43,0,7
Stayed,12433,16,220,40,39,30,3,8
Stayed,7938,16,101,21,21,7,0,9
Stayed,11538,18,168,26,24,39,2,8
Churned,9505,14,275,22,22,59,1,3
Churned,193,1,10,3,3,0,0,1
Stayed,155800,307,3251,446,447,1263,31,55
Stayed,40731,113,907,129,128,269,24,36
Churned,5422,3,113,6,6,16,0,1
Churned,3,1,4,1,1,0,0,1
Stayed,173352,256,2084,411,408,102,166,50
Stayed,3592,4,113,10,10,17,0,3
Stayed,33927,116,596,165,164,46,3,42
Stayed,2974,2,90,9,9,10,0,1
Stayed,27672,90,569,127,121,7,2,44
Churned,34312,119,717,155,153,103,9,39
Stayed,1850,8,65,17,17,3,0,7
Stayed,23890,48,511,75,71,39,0,16
Stayed,278706,202,3759,554,552,1488,14,47
Stayed,1502,1,62,5,5,7,0,1
Churned,3147,3,98,7,7,14,1,2
Stayed,2648,5,38,8,9,0,0,2
Churned,1430,2,69,3,3,10,0,2
Stayed,2110,9,41,11,10,0,0,8
Stayed,5658,14,207,17,17,50,0,8
Churned,1061,2,27,3,3,5,0,2
Churned,628,1,18,2,2,1,0,1
Stayed,45724,140,1105,185,183,147,8,41
Churned,2289,7,94,11,11,8,0,4
Stayed,37549,48,635,135,136,41,1,17
Stayed,25331,37,634,72,63,18,0,22
Stayed,58396,75,1119,124,122,467,10,25
Stayed,4415,21,163,28,28,23,3,15
Stayed,6813,4,254,14,13,19,0,3
Stayed,58342,180,1205,250,251,47,10,34
Stayed,34444,192,977,250,250,81,2,48
Churned,14677,3,859,18,18,428,1,3
Churned,575,1,18,2,2,2,0,1
Churned,174,2,10,2,2,0,0,2
Churned,2672,6,57,7,7,19,0,5
Churned,1375,1,11,2,2,0,0,1
Churned,253,2,9,2,2,0,0,2
Churned,0,1,1,0,0,0,0,1
Stayed,215,1,15,2,2,0,0,1
Churned,921,1,10,3,3,0,0,1
Stayed,1799,2,37,2,3,7,0,1
Stayed,2590,9,84,13,14,17,0,6
Stayed,1643,3,47,15,16,0,0,1
Churned,1399,1,66,4,4,13,0,1
Stayed,292,5,19,5,4,0,0,5
Stayed,1161,1,32,2,2,7,0,1
Churned,2647,9,69,10,10,5,0,8
Stayed,88257,163,1474,223,221,216,26,27
Stayed,170858,295,2918,507,502,274,9,55
Churned,7613,8,114,21,21,9,0,3
Churned,466,1,22,2,2,4,0,1
Stayed,33162,112,799,157,157,56,8,33
Churned,31697,87,791,116,113,66,4,37
Stayed,120,1,6,2,2,0,0,1
Stayed,23,3,12,3,3,0,0,3
Churned,5346,9,121,12,12,14,0,6
Stayed,5820,7,328,13,13,17,0,6
Churned,6717,7,150,17,17,17,0,3
Stayed,18062,35,656,52,53,165,2,16
Churned,11297,50,465,55,54,18,2,28
Churned,2401,7,79,12,10,9,0,7
Churned,1629,3,48,5,4,8,2,3
Churned,2120,7,89,10,10,10,0,5
Stayed,1245,4,37,6,6,4,0,2
Churned,156,1,10,2,2,0,0,1
Churned,408,2,10,3,2,0,0,2
Stayed,22311,33,348,55,55,49,2,14
Stayed,14214,20,263,36,37,34,0,5
Churned,26857,68,750,85,84,130,11,25
Stayed,20750,67,554,93,93,52,0,21
Stayed,179,1,5,1,1,0,0,1
Stayed,3255,10,91,13,12,10,1,4
Churned,6670,20,170,27,27,14,0,13
Churned,776,1,34,2,2,5,0,1
Churned,16781,15,208,28,25,86,0,7
Stayed,2404,4,85,7,7,12,0,2
Stayed,981,4,35,8,7,1,0,3
Stayed,949,3,50,11,11,2,0,3
Stayed,17073,19,313,67,60,23,0,7
Churned,295,4,19,5,5,0,0,4
Stayed,11010,7,139,22,21,17,0,2
Stayed,34560,35,685,78,76,45,0,11
Churned,33,1,5,1,1,0,0,1
Stayed,198755,276,4437,526,512,1614,4,49
Stayed,57687,94,916,152,155,171,5,44
Stayed,10569,35,634,47,44,4,2,24
Stayed,50704,74,899,157,157,215,6,25
Stayed,68149,128,1280,238,238,236,4,30
Stayed,37767,49,535,92,92,31,0,16
Stayed,79358,183,1344,229,229,226,10,27
Stayed,417139,430,8395,825,815,4843,71,55
Churned,3519,2,79,8,7,15,0,1
Stayed,143060,305,2328,453,456,370,1,28
Stayed,24299,45,570,58,58,76,7,14
Churned,1338,6,41,8,8,2,0,5
Churned,346,1,7,2,2,0,0,1
Stayed,74241,167,1621,231,225,654,13,47
Churned,30377,77,682,157,158,39,4,18
Churned,146,1,15,5,5,0,0,1
Churned,17428,48,448,59,61,151,1,15
Stayed,11216,11,189,23,23,24,1,6
Churned,1916,3,49,6,6,5,0,3
Churned,8152,27,179,35,35,42,0,7
Stayed,181788,439,2610,706,706,215,46,55
Churned,419,1,11,2,2,0,0,1
Stayed,50264,59,1154,104,100,111,3,26
Stayed,121813,206,1827,356,350,274,2,26
Stayed,114311,178,3708,250,252,1741,43,27
